time,ess,charge,discharge
1,0.5,0.0,0.0
2,0.5,0.0,0.0
3,0.5,0.0,0.0
4,0.5,0.0,0.0
5,0.5,0.0,0.0
6,0.5,0.0,0.0
7,0.5,0.0,0.0
8,0.5,0.0,0.0
9,0.5,0.0,0.0
10,0.5,0.0,0.0
11,0.5,0.0,0.0
12,0.5,0.0,0.0
13,0.5,0.0,0.0
14,0.5,0.0,0.0
15,0.5,0.0,0.0
16,0.5,0.0,0.0
17,0.5,0.0,0.0
18,0.5,0.0,0.0
19,0.5,0.0,0.0
20,0.5,0.0,0.0
21,0.5,0.0,0.0
22,0.5,0.0,0.0
23,0.5,0.0,0.0
24,0.5,0.0,0.0
25,0.5,0.0,0.0
26,0.5,0.0,0.0
27,0.5,0.0,0.0
28,0.5,0.0,0.0
29,0.5,0.0,0.0
30,0.5,0.0,0.0
31,0.5,0.0,0.0
32,0.5,0.0,0.0
33,0.5,0.0,0.0
34,0.5,0.0,0.0
35,0.5,0.0,0.0
36,0.5,0.0,0.0
37,0.5,0.0,0.0
38,0.5,0.0,0.0
39,0.5,0.0,0.0
40,0.5,0.0,0.0
41,0.5,0.0,0.0
42,0.5,0.0,0.0
43,0.5,0.0,0.0
44,0.5,0.0,0.0
45,0.5,0.0,0.0
46,0.5,0.0,0.0
47,0.5,0.0,0.0
48,0.5,0.0,0.0
49,0.5,0.0,0.0
50,0.5,0.0,0.0
51,0.5,0.0,0.0
52,0.5,0.0,0.0
53,0.5,0.0,0.0
54,0.5,0.0,0.0
55,0.5,0.0,0.0
56,0.5,0.0,0.0
57,0.5,0.0,0.0
58,0.5,0.0,0.0
59,0.5,0.0,0.0
60,0.5,0.0,0.0
61,0.5,0.0,0.0
62,0.5,0.0,0.0
63,0.5,0.0,0.0
64,0.5,0.0,0.0
65,0.5,0.0,0.0
66,0.5,0.0,0.0
67,0.5,0.0,0.0
68,0.5,0.0,0.0
69,0.5,0.0,0.0
70,0.5,0.0,0.0
71,0.5,0.0,0.0
72,0.5,0.0,0.0
73,0.5,0.0,0.0
74,0.5,0.0,0.0
75,0.5,0.0,0.0
76,0.57,0.07139981481481508,0.0
77,0.57,0.0,0.0
78,0.57,0.0,0.0
79,0.57,0.0,0.0
80,0.57,0.0,0.0
81,0.57,0.0,0.0
82,0.57,0.0,0.0
83,0.57,0.0,0.0
84,0.57,0.0,0.0
85,0.57,0.0,0.0
86,0.57,0.0,0.0
87,0.57,0.0,0.0
88,0.57,0.0,0.0
89,0.57,0.0,0.0
90,0.57,0.0,0.0
91,0.57,0.0,0.0
92,0.57,0.0,0.0
93,0.57,0.0,0.0
94,0.57,0.0,0.0
95,0.58,0.009428999999999986,0.0
96,0.59,0.01148699999999998,0.0
97,0.61,0.013676999999999986,0.0
98,0.62,0.010178999999999987,0.0
99,0.63,0.009140999999999982,0.0
100,0.64,0.00996899999999998,0.0
101,0.65,0.009851999999999984,0.0
102,0.65,0.0,0.0
103,0.65,0.004259999999999979,0.0
104,0.65,0.004304999999999999,0.0
105,0.66,0.005522999999999999,0.0
106,0.66,0.00495,0.0
107,0.67,0.007475999999999989,0.0
108,0.68,0.008048999999999978,0.0
109,0.66,0.0,0.02391111111111111
110,0.64,0.0,0.020092592592592586
111,0.62,0.0,0.019614814814814807
112,0.62,0.0057674999999999905,0.0
113,0.63,0.005956499999999989,0.0
114,0.63,0.005623500000000001,0.0
115,0.62,0.0,0.0117
116,0.61,0.0,0.008474074074074077
117,0.61,0.0,0.0005592592592592611
118,0.62,0.0028649999999999947,0.0
119,0.62,0.0015509999999999964,0.0
120,0.63,0.00795,0.0
121,0.63,0.008804999999999999,0.0
122,0.65,0.011952,0.0
123,0.64,0.0,0.009116666666666658
124,0.63,0.0,0.011279629629629624
125,0.62,0.0,0.008716666666666664
126,0.64,0.023407499999999984,0.0
127,0.66,0.022882499999999983,0.0
128,0.69,0.023743499999999987,0.0
129,0.71,0.021862499999999993,0.0
130,0.73,0.025975499999999985,0.0
131,0.76,0.026707499999999985,0.0
132,0.79,0.0285495,0.0
133,0.83,0.037626,0.0
134,0.86,0.028383000000000005,0.0
135,0.86,0.0005549999999999983,0.0
136,0.86,0.0031290000000000016,0.0
137,0.86,0.0030360000000000014,0.0
138,0.85,0.0,0.010311111111111111
139,0.84,0.0,0.008588888888888887
140,0.85,0.0023340000000000006,0.0
141,0.85,0.0020549999999999982,0.0
142,0.87,0.02107349999999999,0.0
143,0.89,0.021007499999999985,0.0
